INFO:root:2019-05-08 08:39:39.722588
INFO:root:{'TRAIN': {'LEARNING_RATE': 0.001, 'MOMENTUM': 0.9, 'WEIGHT_DECAY': 0.0001, 'GAMMA': 0.1, 'STEPSIZE': [30000], 'DISPLAY': 20, 'DOUBLE_BIAS': False, 'TRUNCATED': False, 'BIAS_DECAY': False, 'USE_GT': False, 'ASPECT_GROUPING': False, 'SNAPSHOT_KEPT': 3, 'SUMMARY_INTERVAL': 180, 'SCALES': [600], 'MAX_SIZE': 1000, 'TRIM_HEIGHT': 600, 'TRIM_WIDTH': 600, 'IMS_PER_BATCH': 1, 'BATCH_SIZE': 128, 'FG_FRACTION': 0.25, 'FG_THRESH': 0.5, 'BG_THRESH_HI': 0.5, 'BG_THRESH_LO': 0.0, 'USE_FLIPPED': True, 'BBOX_REG': True, 'BBOX_THRESH': 0.5, 'SNAPSHOT_ITERS': 5000, 'SNAPSHOT_PREFIX': 'res101_faster_rcnn', 'BBOX_NORMALIZE_TARGETS': True, 'BBOX_INSIDE_WEIGHTS': [1.0, 1.0, 1.0, 1.0], 'BBOX_NORMALIZE_TARGETS_PRECOMPUTED': True, 'BBOX_NORMALIZE_MEANS': [0.0, 0.0, 0.0, 0.0], 'BBOX_NORMALIZE_STDS': [0.1, 0.1, 0.2, 0.2], 'PROPOSAL_METHOD': 'selective_search', 'HAS_RPN': True, 'RPN_POSITIVE_OVERLAP': 0.7, 'RPN_NEGATIVE_OVERLAP': 0.3, 'RPN_CLOBBER_POSITIVES': False, 'RPN_FG_FRACTION': 0.5, 'RPN_BATCHSIZE': 256, 'RPN_NMS_THRESH': 0.7, 'RPN_PRE_NMS_TOP_N': 12000, 'RPN_POST_NMS_TOP_N': 2000, 'RPN_MIN_SIZE': 8, 'RPN_BBOX_INSIDE_WEIGHTS': [1.0, 1.0, 1.0, 1.0], 'RPN_POSITIVE_WEIGHT': -1.0, 'USE_ALL_GT': True, 'BN_TRAIN': False}, 'TEST': {'SCALES': [600], 'MAX_SIZE': 1000, 'NMS': 0.3, 'SVM': False, 'BBOX_REG': True, 'HAS_RPN': True, 'PROPOSAL_METHOD': 'gt', 'RPN_NMS_THRESH': 0.7, 'RPN_PRE_NMS_TOP_N': 6000, 'RPN_POST_NMS_TOP_N': 300, 'RPN_MIN_SIZE': 16, 'MODE': 'nms', 'RPN_TOP_N': 5000}, 'RESNET': {'MAX_POOL': False, 'FIXED_BLOCKS': 1}, 'MOBILENET': {'REGU_DEPTH': False, 'FIXED_LAYERS': 5, 'WEIGHT_DECAY': 4e-05, 'DEPTH_MULTIPLIER': 1.0}, 'DEDUP_BOXES': 0.0625, 'PIXEL_MEANS': array([[[102.9801, 115.9465, 122.7717]]]), 'RNG_SEED': 3, 'EPS': 1e-14, 'ROOT_DIR': '/home/yjy123/github/fpn-ss', 'DATA_DIR': '/home/yjy123/github/fpn-ss/data', 'MATLAB': 'matlab', 'EXP_DIR': 'res101', 'USE_GPU_NMS': True, 'GPU_ID': 0, 'POOLING_MODE': 'align', 'POOLING_SIZE': 7, 'MAX_NUM_GT_BOXES': 20, 'ANCHOR_SCALES': [8, 16, 32], 'ANCHOR_RATIOS': [0.5, 1, 2], 'FEAT_STRIDE': [16], 'FPN_ANCHOR_SCALES': [32, 64, 128, 256, 512], 'FPN_FEAT_STRIDES': [4, 8, 16, 32, 64], 'FPN_ANCHOR_STRIDE': 1, 'CUDA': False, 'CROP_RESIZE_WITH_MAX_POOL': False, 'HAS_MASK': True}
INFO:root:10022 roidb entries
INFO:root:[session 1][epoch  1][iter    0] loss: 3.9913, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9913, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  100] loss: 5.1271, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4226, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  200] loss: 5.4070, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1666, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  300] loss: 4.7962, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2725, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  400] loss: 4.7333, lr: 1.00e-03
INFO:root:			wsddn_cls: 9.1118, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  500] loss: 5.1594, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.5973, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  600] loss: 12.4608, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.5245, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  700] loss: 5.8263, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1207, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  800] loss: 5.0202, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.0062, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter  900] loss: 5.7533, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.0560, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1000] loss: 5.1128, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.7810, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1100] loss: 5.1198, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.1500, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1200] loss: 5.0937, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.2728, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1300] loss: 5.2817, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4039, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1400] loss: 5.2125, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6317, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1500] loss: 5.2065, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.7217, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1600] loss: 5.5058, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3739, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1700] loss: 4.9893, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.7204, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1800] loss: 4.8493, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.3313, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 1900] loss: 4.9585, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.7350, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2000] loss: 4.9929, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3632, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2100] loss: 5.1899, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.9715, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2200] loss: 4.8002, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1873, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2300] loss: 5.0937, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6935, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 2400] loss: 5.1002, lr: 1.00e-03
